Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,Adilabad,23747.33,23903.17,2035.44,23979.15,73665.09,7179.91,66485.25,15127.11,131.4,2832.91,18091.3,3450.56,48234.6,27.21
2,Bhadradri Kothagudem,55661.41,17701.81,8979.75,10891.19,93234.16,8064.99,85169.08,20374.97,2939.4,4020.03,27334.45,4054.54,61203.33,32.09
3,Hanumakonda,13542,17815.81,0,18105.33,49463.14,4709.21,44753.89,23694.7,263.34,1345.6,25303.65,1345.59,20337.31,56.54
4,Hyderabad,996.3,2042.12,258.57,4039.08,7336.07,688.65,6647.43,0,0,6380.79,6380.81,7096.33,308.53,95.99
5,Jagtial,18138.38,18188.03,1982.24,16392.35,54701,5222.59,49478.39,20178.56,0.9,488.66,20668.31,1611.17,27687.6,41.77
6,Jangaon,15053.04,12774.37,2594.49,9091.22,39513.12,3745.79,35767.33,18482.07,383.04,2503.07,21368.28,2707.19,14494.79,59.74
7,Jayashankar Bhupalapally,21556.15,8134.52,1123.33,10537.2,41351.19,3566.96,37784.21,13752.68,0,604.94,14357.7,632.53,23831.17,38
8,Jogulamba Gadwal,8762.15,21832.62,2592.47,12232.25,45419.49,4446.32,40973.21,10307.55,75.78,210.22,10593.44,731.6,29878.44,25.85
9,Kamareddy,30700.46,16153.29,3430.5,18238.94,68523.19,6481.03,62042.04,31234.04,154.38,2027.11,33415.52,2633.56,28158.68,53.86
10,Karimnagar,14871.44,33835.33,2037.38,36344.6,87088.75,8437.5,78651.24,25115.31,187.56,914.22,26217.16,1059.1,52499.59,33.33
11,Khammam,30338.38,56522.9,6251.83,33131.41,126244.52,12205.48,114039.05,35785.51,51.85,3895.76,39733.05,4298.1,75152.04,34.84
12,Komarambheem Asifabad,31600.69,14692.7,2051.66,6678.63,55023.68,4709.96,50313.67,5720.74,12.09,1705.6,7438.35,1977.54,42716.3,14.78
13,Mahabubabad,31643.14,14134.85,19.67,16963.2,62760.86,6276.11,56484.75,26448.59,894.64,1355.34,28698.56,1718.01,27680.89,50.81
14,Mahabubnagar,13431.15,6168.1,2431.09,9192.97,31425.62,2980.1,28445.49,18789.9,59.76,193.44,19043.19,1747.82,9065.34,66.95
15,Mancherial,33691.38,27305.28,0,27652.97,88649.63,8553.48,80096.09,17019.04,1626.84,2095.27,20741.15,2095.27,59735.53,25.9
16,Medak,20759.54,11615.81,2348.2,16779.29,51502.84,5051.42,46451.4,22157.09,125.21,680.16,22962.09,1378.09,23245.39,49.43
17,Medchal Malkajgiri,5703.41,2431.51,715.45,1900.16,10750.53,1002.84,9747.67,3005.54,1296.71,1253,5555.33,4300.05,4494.61,56.99
18,Mulug,28687.38,6273.64,2078.94,11036.93,48076.89,4357.31,43719.63,12048.38,0,517.64,12566.06,574.49,31534.23,28.74
19,Nagarkurnool,27299.29,20346.54,7535.7,24694.81,79876.34,7527.36,72349.01,32836.99,119.65,885.73,33842.48,1745.85,39212.5,46.78
20,Nalgonda,34167.94,47613.96,8788.74,52077.08,142647.72,13673.55,128974.18,47083.96,3766.46,5756.59,56607.07,308025.92,73734.19,43.89
21,Narayanpet,9365.61,10380.56,2065.48,9216.67,31028.32,2666.16,28362.12,11481.79,380.07,127.63,11989.46,590.35,16075.87,42.27
22,Nirmal,27283.68,12240.95,2166.6,12828.4,54519.63,5234.01,49285.58,16078.17,0,1843.16,17921.38,2019.49,31248.3,36.36
23,Nizamabad,36105.49,22568.8,3515.83,34883.66,97073.78,8670.13,88403.65,49140.2,151.68,2913.02,52204.92,3516.58,39172.76,59.05
24,Peddapalle,16117.91,32872.94,1156.15,22051.34,72198.34,7099.45,65098.92,17545.43,316.8,1226.1,19088.32,1815.92,45434.79,29.32
25,Rajanna Siricilla,13243.42,16552.64,2014.16,14000.05,45810.27,4181.49,41628.77,26874.73,142.56,57.79,27075.11,226.58,14419.02,65.04
